Findbugs Results
Error Type,Error Category,Classname,Startline,Endline
VO_VOLATILE_INCREMENT,MT_CORRECTNESS,junit.extensions.ActiveTestSuite,67,67,
LI_LAZY_INIT_UPDATE_STATIC,MT_CORRECTNESS,junit.runner.BaseTestRunner,47,47,
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,STYLE,junit.runner.BaseTestRunner,159,159,
DM_EXIT,BAD_PRACTICE,junit.textui.TestRunner,198,198,
NP_LOAD_OF_KNOWN_NULL_VALUE,STYLE,org.hamcrest.TypeSafeMatcher,74,74,
IT_NO_SUCH_ELEMENT,BAD_PRACTICE,org.hamcrest.internal.ArrayIterator,8,29,
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,BAD_PRACTICE,org.junit.internal.AssumptionViolatedException,32,110,
NP_NULL_PARAM_DEREF_NONVIRTUAL,CORRECTNESS,org.junit.experimental.max.MaxCore$1,117,117,
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,BAD_PRACTICE,org.junit.experimental.max.MaxHistory,39,39,
DM_DEFAULT_ENCODING,I18N,org.junit.experimental.results.PrintableResult,61,61,
DM_DEFAULT_ENCODING,I18N,org.junit.experimental.results.PrintableResult,60,60,
IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,STYLE,org.junit.experimental.theories.Theories$TheoryAnchor$1,258,258,
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,BAD_PRACTICE,org.junit.runners.model.MultipleFailureException,24,67,
NM_CLASS_NOT_EXCEPTION,BAD_PRACTICE,org.junit.internal.runners.statements.ExpectException,10,35,
NM_CLASS_NOT_EXCEPTION,BAD_PRACTICE,org.junit.rules.ExpectedException,106,268,
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,BAD_PRACTICE,org.junit.rules.TemporaryFolder,135,135,
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,BAD_PRACTICE,org.junit.rules.TemporaryFolder,136,136,
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,BAD_PRACTICE,org.junit.rules.TemporaryFolder,168,168,
SE_BAD_FIELD,BAD_PRACTICE,org.junit.runner.Description,33,314,
GC_UNRELATED_TYPES,CORRECTNESS,org.junit.runners.BlockJUnit4ClassRunner,364,364,
RV_RETURN_VALUE_OF_PUTIFABSENT_IGNORED,MT_CORRECTNESS,org.junit.runners.BlockJUnit4ClassRunner,98,98,
VA_FORMAT_STRING_USES_NEWLINE,BAD_PRACTICE,org.junit.runners.model.MultipleFailureException,37,37,
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,BAD_PRACTICE,org.junit.runners.model.TestClass$FieldComparator,298,300,
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,BAD_PRACTICE,org.junit.runners.model.TestClass$MethodComparator,307,310,
DM_DEFAULT_ENCODING,I18N,staticcode.analysis.Client,18,18,
DM_DEFAULT_ENCODING,I18N,staticcode.analysis.FindbugsStaticCodeAnalyzer,47,47,
SS_SHOULD_BE_STATIC,PERFORMANCE,staticcode.analysis.FindbugsStaticCodeAnalyzer,22,22,
DM_DEFAULT_ENCODING,I18N,staticcode.analysis.PMDStaticCodeAnalyzer,45,45,
SS_SHOULD_BE_STATIC,PERFORMANCE,staticcode.analysis.PMDStaticCodeAnalyzer,23,23,
IL_INFINITE_LOOP,CORRECTNESS,staticcode.analysis.SampleCode,8,8,
