PMD result
Error Type,Error Category,Classname,Startline,Endline,
UseUtilityClass,Design,Client,14,47,
CloseResource,Error Prone,Client,18,18,
FinalFieldCouldBeStatic,Design,FindbugsStaticCodeAnalyzer,22,22,
UnnecessaryLocalBeforeReturn,Code Style,FindbugsStaticCodeAnalyzer,39,39,
FinalFieldCouldBeStatic,Design,PMDStaticCodeAnalyzer,23,23,
UnnecessaryLocalBeforeReturn,Code Style,PMDStaticCodeAnalyzer,40,40,
UseUtilityClass,Design,SampleCode,3,18,
EmptyWhileStmt,Error Prone,SampleCode,8,10,
UnusedLocalVariable,Best Practices,SampleCode,12,12,
UnusedImports,Best Practices,FindbugsStaticCodeAnalyzerTest,3,3,
UnusedImports,Best Practices,FindbugsStaticCodeAnalyzerTest,5,5,
UnusedImports,Best Practices,FindbugsStaticCodeAnalyzerTest,6,6,
UnusedImports,Best Practices,FindbugsStaticCodeAnalyzerTest,10,10,
UnusedImports,Best Practices,FindbugsStaticCodeAnalyzerTest,14,14,
UnusedImports,Best Practices,FindbugsStaticCodeAnalyzerTest,17,17,
UnusedImports,Best Practices,PMDStaticCodeAnalyzerTest,3,3,
UnusedImports,Best Practices,PMDStaticCodeAnalyzerTest,5,5,
UnusedImports,Best Practices,PMDStaticCodeAnalyzerTest,6,6,
UnusedImports,Best Practices,PMDStaticCodeAnalyzerTest,10,10,
UnusedImports,Best Practices,PMDStaticCodeAnalyzerTest,14,14,
UnusedImports,Best Practices,PMDStaticCodeAnalyzerTest,16,16,
